Date,Close
6/13/24,214.24
6/14/24,212.49
6/17/24,216.67
6/18/24,214.29
6/20/24,209.68
6/21/24,207.49
6/24/24,208.14
6/25/24,209.07
6/26/24,213.25
6/27/24,214.10
6/28/24,210.62
7/1/24,216.75
7/2/24,220.27
7/3/24,221.55
7/5/24,226.34
7/8/24,227.82
7/9/24,228.68
7/10/24,232.98
7/11/24,227.57
7/12/24,230.54
7/15/24,234.40
7/16/24,234.82
7/17/24,228.88
7/18/24,224.18
7/19/24,224.31
7/22/24,223.96
7/23/24,225.01
7/24/24,218.54
7/25/24,217.49
7/26/24,217.96
7/29/24,218.24
7/30/24,218.80
7/31/24,222.08
8/1/24,218.36
8/2/24,219.86
8/5/24,209.27
8/6/24,207.23
8/7/24,209.82
8/8/24,213.31
8/9/24,216.24
8/12/24,217.53
8/13/24,221.27
8/14/24,221.72
8/15/24,224.72
8/16/24,226.05
8/19/24,225.89
8/20/24,226.51
8/21/24,226.40
8/22/24,224.53
8/23/24,226.84
8/26/24,227.18
8/27/24,228.03
8/28/24,226.49
8/29/24,229.79
8/30/24,229.00
9/3/24,222.77
9/4/24,220.85
9/5/24,222.38
9/6/24,220.82
9/9/24,220.91
9/10/24,220.11
9/11/24,222.66
9/12/24,222.77
9/13/24,222.50
9/16/24,216.32
9/17/24,216.79
9/18/24,220.69
9/19/24,228.87
9/20/24,228.20