,P/E Ratio,Beta,Market Cap,EPS Growth,ROE,Dividend Yield,Current Ratio,Quick Ratio,Insider Ownership
MMM,52.439693,0.995,74036436992.0,,0.24314,0.0208,1.36,0.97,0.00114
AOS,21.418606,1.147,12089091072.0,0.019,0.30341998,0.0154,1.698,1.012,0.00821
ABT,35.867508,0.722,197826625536.0,-0.051,0.14441,0.019299999,1.68,1.023,0.00525
ABBV,64.49,0.619,341733801984.0,-0.325,0.54262,0.032,0.807,0.594,0.00096000003
ACN,30.761208,1.239,210602835968.0,-0.02,0.26,0.0153,1.157,1.029,0.00074
ADBE,44.26271,1.296,231587807232.0,0.233,0.35355,,1.111,0.966,0.00215
AMD,185.65477,1.693,252401958912.0,8.553,0.024249999,,2.819,1.794,0.00493
AES,18.0,1.062,13436464128.0,,-0.01717,0.036199998,0.973,0.34,0.00481
AFL,11.37197,0.949,60438003712.0,0.144,0.23538,0.0185,1.411,1.263,0.10054
A,29.12474,1.054,40251777024.0,1.569,0.24658,0.0067000003,1.781,1.258,0.00273
APD,24.998264,0.828,64021987328.0,0.172,0.16211,0.024600001,1.269,1.028,0.0032499998
ABNB,17.847618,1.166,82961244160.0,-0.125,0.74175,,1.406,0.722,0.01008
AKAM,24.693546,0.676,15079109632.0,0.024,0.13906,,1.321,1.201,0.01821
ALB,,1.543,10111364096.0,,-0.04103,0.0188,2.668,1.546,0.0034999999
ARE,149.69136,1.173,21209778176.0,-0.511,0.01491,0.0429,2.778,2.673,0.00937
ALGN,42.928696,1.643,18887163904.0,-0.123,0.12088,,1.182,0.976,0.06599
ALLE,22.321144,1.123,12232783872.0,0.099,0.43199003,0.0137,1.659,1.181,0.0018799999
LNT,24.375511,0.57,15318179840.0,-0.466,0.094390005,0.0322,0.655,0.27,0.0022200001
ALL,17.427008,0.477,50431827968.0,,0.17841,0.019299999,0.378,0.241,0.0058
GOOGL,23.470589,1.039,2019943776256.0,0.314,0.30871,0.0049,2.079,1.897,0.00246
GOOG,23.655172,1.039,2019326164992.0,0.314,0.30871,0.0049,2.079,1.897,0.00018999999
MO,8.687931,0.687,85976424448.0,0.862,,0.081,0.455,0.281,0.00104
AMZN,45.619053,1.146,2010956955648.0,0.938,0.21933001,,1.096,0.84,0.08988
AMCR,21.8,0.861,15754206208.0,0.443,0.18400998,0.045900002,1.165,0.571,0.0029199999
AEE,19.327314,0.458,22844870656.0,0.075,0.10446999,0.0313,0.673,0.304,0.0027599998
AAL,,1.433,7230311424.0,-0.463,,,0.601,0.449,0.01274
AEP,20.43,0.533,54356058112.0,-0.366,0.10514,0.0345,0.655,0.32,0.00037
AXP,20.073881,1.212,191228215296.0,0.436,0.34977,0.0104,1.657,1.654,0.21439
AIG,14.049524,1.075,47497826304.0,,0.08733,0.0217,0.68,0.252,0.00302
AMT,44.018726,0.83,109792288768.0,0.882,0.21584,0.0276,0.597,0.524,0.0012800001
AWK,30.046938,0.691,28689680384.0,-0.011,0.09631,0.0208,0.638,0.478,0.00123
AMP,15.74735,1.346,45226696704.0,-0.023,0.67629,0.0128999995,2.996,2.145,0.00178
AME,29.860384,1.173,39615811584.0,0.036,0.15367,0.0064999997,1.256,0.691,0.00445
AMGN,58.168964,0.605,181284061184.0,-0.463,0.49268,0.026700001,1.264,0.755,0.0024899999
APH,39.467068,1.246,79374761984.0,0.108,0.25456,0.01,2.017,1.203,0.00524
ADI,68.513596,1.073,112594681856.0,-0.546,0.04658,0.0162,1.687,1.138,0.00247
ANSS,56.581272,1.114,27985559552.0,0.85,0.094289996,,2.951,2.859,0.00409
AON,27.941223,0.917,75389493248.0,-0.092,0.82436997,0.0078,1.087,0.236,0.03014
APA,2.7132034,3.243,9273518080.0,0.186,0.7938,0.0399,1.01,0.726,0.00409
AAPL,34.733635,1.24,3469575716864.0,0.111,1.60583,0.0044,0.953,0.798,0.02703
AMAT,21.615297,1.541,158417469440.0,0.108,0.4391,0.0083,2.86,1.947,0.00299
APTV,5.270943,1.793,16409605120.0,3.132,0.34971002,,1.494,1.061,0.00382
ACGL,7.9634314,0.596,42584805376.0,0.886,0.30843002,,0.618,0.313,0.02992
ADM,12.223107,0.714,29338793984.0,-0.424,0.1075,0.0326,1.443,0.375,0.0058
ANET,49.73609,1.073,120779259904.0,0.342,0.34463,,4.553,3.47,0.18202
AJG,54.023483,0.729,60484747264.0,0.187,0.10361,0.0087,1.041,0.134,0.0113699995
AIZ,12.951334,0.563,10061884416.0,0.234,0.16811001,0.0148,0.409,0.145,0.00602
T,12.379311,0.733,154446970880.0,-0.197,0.11788,0.0515,0.704,0.428,0.00082
ATO,20.171345,0.67,21198616576.0,0.148,0.090179995,0.023599999,1.735,1.36,0.0029
ADSK,54.660534,1.476,57603399680.0,0.262,0.57445997,,0.636,0.526,0.00183
ADP,30.40814,0.802,112727179264.0,0.072,0.9314,0.020299999,1.01,0.141,0.00127
AZO,20.920147,0.709,51601330176.0,0.075,,,0.793,0.1,0.0027599998
AVB,38.927242,0.986,32718440448.0,-0.311,0.07143,0.0296,1.211,0.542,0.00356
AVY,27.160463,0.895,17036231680.0,0.758,0.29315,0.0166,0.899,0.537,0.00754
AXON,104.044975,0.937,29722617856.0,2.313,0.17232001,,2.879,2.357,0.049629997
BKR,18.294416,1.366,36055138304.0,0.45,0.13033,0.0233,1.266,0.742,0.00117
BALL,30.278538,0.878,20129394688.0,-0.073,0.12785,0.0121,1.177,0.832,0.00386
BAC,14.129826,1.34,312478302208.0,-0.057,0.08495,0.025799999,,,0.11215
BK,17.1,1.067,53000142848.0,0.16,0.08343001,0.026199998,,,0.0015700001
BBWI,7.1067963,1.753,6415599616.0,0.581,,0.0273,1.113,0.441,0.0031299999
BAX,,0.593,19636752384.0,,-0.02219,0.0301,1.402,0.781,0.00377
BDX,46.7,0.447,67491303424.0,0.235,0.05633,0.0163,1.848,1.197,0.00311
BRK.B,,,,,,,,,
BBY,16.804836,1.479,20892741632.0,0.072,0.4241,0.038599998,1.013,0.291,0.0871
BIO,,0.947,9181010944.0,,-0.17413001,,6.276,4.254,0.15662
TECH,74.571434,1.269,12421982208.0,-0.442,0.08332,0.004,3.874,2.474,0.010240001
BIIB,25.139975,-0.057,29039175680.0,-0.017,0.07628,,2.287,1.283,0.0016699999
BLK,23.04118,1.317,137579806720.0,0.103,0.15204,0.022,2.528,1.853,0.00915
BX,60.351147,1.5,193127776256.0,-0.269,0.18929,0.0212,1.015,0.946,0.00973
BA,,1.575,94460813312.0,,,,1.184,0.264,0.0013400001
BKNG,28.491377,1.4,136243494912.0,0.272,,0.0086,1.17,1.106,0.0015199999
BWA,10.03003,1.182,7607484928.0,0.541,0.1183,0.013200001,1.617,1.189,0.00721
BSX,68.22764,0.797,123583111168.0,0.222,0.093210004,,1.612,0.953,0.00185
BMY,,0.458,100173832192.0,-0.163,-0.26591,0.048600003,1.156,0.937,0.0011100001
AVGO,139.1057,1.183,799136284672.0,1.881,0.12509,0.0124,1.038,0.841,0.0202
BR,35.593163,1.059,24301148160.0,0.002,0.31667998,0.016900001,1.084,0.964,0.0070499997
BRO,29.10951,0.829,28814213120.0,0.343,0.17958,0.0050999997,1.129,0.398,0.16354999
BF.B,,,,,,,,,
BLDR,17.422026,2.064,23027613696.0,-0.092,0.32498002,,1.825,1.079,0.01864
BG,11.227273,0.637,13995119616.0,-0.883,0.12297,0.0275,2.032,0.528,0.00892
BXP,76.43396,1.199,14346210304.0,-0.232,0.031770002,0.0484,0.833,0.76,0.00215
CHRW,37.482014,0.825,12220888064.0,0.296,0.22913,0.0238,1.417,1.348,0.009380001
CDNS,70.92229,1.02,74960969728.0,0.037,0.29442,,1.432,1.186,0.00811
CZR,,2.962,8967209984.0,,-0.0454,,0.698,0.527,0.00719
CPT,34.21038,0.916,13351768064.0,-0.528,0.08158,0.032899998,0.159,0.147,0.01472
CPB,27.095238,0.175,15266007040.0,,0.15203,0.028900001,0.612,0.206,0.35581002
COF,14.325494,1.447,58149031936.0,-0.608,0.07771,0.015800001,,,0.03649
CAH,32.511627,0.616,27061028864.0,48.135,,0.018099999,0.979,0.489,0.00271
KMX,29.843138,1.688,11877612544.0,-0.326,0.06728,,2.503,0.217,0.0035499998
CCL,26.760565,2.693,24892471296.0,,0.14244,,0.282,0.194,0.078590006
CARR,21.25532,1.19,72147935232.0,10.087,0.31099,0.0095,1.084,0.604,0.06616
CTLT,,1.156,10887839744.0,,-0.25393,,2.519,1.741,0.00585
CAT,16.810392,1.089,178840076288.0,-0.034,0.62167,0.0153,1.284,0.701,0.00199
CBOE,28.837952,0.673,21785845760.0,-0.153,0.20039,0.0121,1.234,0.35,0.0040700003
CBRE,40.94276,1.4,37262008320.0,-0.344,0.10905,0.0172,1.119,0.913,0.0054900004
CDW,27.610294,1.033,30094673920.0,0.078,0.58541,0.011,1.135,0.97,0.00316
CE,7.1857305,1.294,13865602048.0,-0.298,0.28254,0.0221,1.276,0.673,0.00405
COR,24.74078,0.441,44711383040.0,0.03,1.87717,0.0089,0.893,0.517,0.10451999
CNC,14.239172,0.484,39773130752.0,0.125,0.10585,,1.173,1.123,0.0026800002
CNP,17.38889,0.913,18358980608.0,1.118,0.10154,0.028399998,1.196,0.508,0.00333
CF,14.49556,0.946,14723423232.0,-0.149,0.15955,0.024500001,4.7,3.943,0.00605
CRL,24.61603,1.365,10625081344.0,-0.079,0.12603,,1.582,0.994,0.009380001
SCHW,27.245832,0.964,119620542464.0,0.031,0.11995,0.0153,0.435,0.435,0.06266
CHTR,10.54917,1.051,47161622528.0,0.055,0.34924,,0.385,0.336,0.37363997
CVX,14.423761,1.08,264372764672.0,-0.241,0.11761,0.0448,1.157,0.725,0.065409996
CMG,56.107845,1.256,78375337984.0,0.333,0.43535,,1.712,1.59,0.00685
CB,12.300467,0.674,117407465472.0,0.264,0.16756001,0.0125,0.397,0.19,0.07298
CHD,31.91358,0.54,25313871872.0,0.112,0.19531,0.011,1.527,0.939,0.00166
CI,28.086752,0.509,99558580224.0,0.108,0.091280006,0.015700001,0.831,0.592,0.01573
CINF,9.884728,0.671,21034592256.0,-0.414,0.1807,0.0241,0.998,0.819,0.015620001
CTAS,53.72632,1.312,82329149440.0,0.199,0.38424,0.0076,1.742,0.867,0.15129
CSCO,20.46063,0.819,207398240256.0,-0.439,0.22982,0.0308,0.908,0.705,0.00046
C,17.165747,1.435,118550691840.0,0.149,0.040370002,0.0346,,,0.03092
CFG,15.716981,1.328,18671695872.0,-0.152,0.05669,0.0403,,,0.00675
CLX,72.59111,0.393,20230381568.0,0.222,0.66363996,0.0299,1.03,0.57,0.0016
CME,23.47577,0.561,76758278144.0,0.131,0.11913,0.0216,1.02,0.029,0.00435
CMS,21.423311,0.403,20863232000.0,-0.03,0.10697,0.0295,1.181,0.603,0.00491
KO,29.12195,0.609,308759101440.0,-0.05,0.38772,0.0271,1.08,0.805,0.09946
CTSH,17.230068,1.05,37491568640.0,0.251,0.16379999,0.0159,2.459,2.097,0.0016300001
CL,30.046646,0.399,84208984064.0,0.483,7.5332503,0.0194,1.055,0.591,0.00107
CMCSA,10.667553,1.01,155325972480.0,-0.02,0.17489,0.0309,0.664,0.544,0.00712
CAG,44.861107,0.309,15473313792.0,,0.040149998,0.0433,0.972,0.293,0.0055299997
COP,12.234967,1.228,127586549760.0,0.076,0.21968001,0.028399998,1.33,1.097,0.00096000003
ED,20.06796,0.348,35774291968.0,-0.108,0.08417,0.0321,1.044,0.819,0.0019400001
STZ,18.486588,0.873,45212913664.0,5.459,0.2586,0.0163,1.226,0.31,0.11898
CEG,33.906914,0.732,79729434624.0,0.008,0.20031999,0.0055,1.354,0.535,0.00233
COO,61.383335,0.981,22004746240.0,0.209,0.0465,0.0002,1.987,0.875,0.00542
CPRT,36.742855,1.271,49500606464.0,-0.083,0.20129,,7.029,6.695,0.09198
GLW,87.254906,1.036,38078693376.0,-0.636,0.044260003,0.0252,1.573,0.694,0.093310006
CPAY,22.326307,1.225,21330511872.0,0.1,0.3341,,1.017,0.667,0.03111
CTVA,45.698414,0.773,39859580928.0,0.508,0.03415,0.0116,1.716,1.073,0.0008
CSGP,148.78847,0.816,31707541504.0,-0.809,0.02937,,9.27,9.131,0.0118700005
COST,56.15975,0.788,402095964160.0,0.29,0.31638,0.0050999997,0.941,0.398,0.0018799999
CTRA,13.6763,0.199,17491222528.0,0.074,0.102010004,0.0355,1.404,1.349,0.017970001
CRWD,434.56522,1.1,73501032448.0,5.333,0.07334,,1.899,1.723,0.01254
CCI,42.245422,0.861,50118615040.0,-0.45,0.18743,0.0543,0.433,0.282,0.00113
CSX,19.087431,1.189,67720187904.0,0.006,0.28923,0.0137,1.161,0.976,0.00217
CMI,22.080229,0.975,42243674112.0,0.042,0.1894,0.023599999,1.343,0.699,0.00399
CVS,10.233096,0.528,72346427392.0,-0.048,0.097279996,0.0463,0.86,0.598,0.00117
DHR,50.023857,0.861,196896931840.0,-0.181,0.07982,0.004,1.434,0.846,0.10998999
DRI,19.650116,1.303,20159019008.0,0.087,0.48619,0.032899998,0.353,0.11,0.00417
DVA,17.44681,0.863,13759599616.0,0.309,0.45333,,1.158,1.059,0.47304
DAY,196.36665,1.29,9313671168.0,,0.01997,,1.105,0.138,0.011849999
DECK,28.875479,1.054,22980749312.0,0.875,0.41874,,2.863,1.941,0.00476
DE,13.848175,0.929,111051505664.0,-0.383,0.35481,0.0145000005,2.078,1.798,0.00168
DAL,6.7345767,1.349,30295967744.0,-0.292,0.43806,0.0128,0.403,0.28,0.00301
DVN,7.37613,2.069,25542699008.0,0.252,0.29691,0.049000002,1.114,0.905,0.00769
DXCM,43.745342,1.183,28223203328.0,0.266,0.29413,,2.815,2.392,0.00306
FANG,9.36853,1.883,53348302848.0,0.528,0.21341999,0.059499998,3.662,3.621,0.39270002
DLR,45.47278,0.619,52985487360.0,-0.411,0.05388,0.0307,1.54,1.538,0.0012899999
DFS,12.576346,1.41,35775250432.0,0.713,0.19443001,0.0197,1.111,1.111,0.00574
DG,13.376362,0.444,18914889728.0,-0.202,0.20882,0.0274,1.222,0.18,0.0025600002
DLTR,,0.872,15421376512.0,-0.323,-0.12983,,1.015,0.095,0.00075999997
D,24.137499,0.602,48599678976.0,-0.036,0.07542,0.0461,0.934,0.229,0.00122
DPZ,25.50277,0.858,14493593600.0,0.301,,0.0146,1.942,1.122,0.00373
DOV,17.608938,1.218,25996056576.0,0.186,0.29924,0.0109,1.53,0.893,0.00415
DOW,31.919752,1.213,36244627456.0,-0.089,0.062480003,0.0529,1.751,0.874,0.0018600001
DHI,12.9218855,1.728,62525247488.0,0.051,0.21305999,0.0063,6.487,0.65,0.101160005
DTE,18.698055,0.676,25896130560.0,0.598,0.12835,0.0326,0.694,0.435,0.00322
DUK,19.92637,0.457,89861144576.0,,0.092130005,0.0359,0.811,0.327,0.00137
DD,106.84615,1.325,34794033152.0,,0.01391,0.0182,2.212,1.358,0.00119
EMN,14.351278,1.45,12460781568.0,-0.145,0.16035,0.0304,1.402,0.678,0.00661
ETN,36.369637,1.007,131611860992.0,0.333,0.19622,0.0114,1.558,0.982,0.00205
EBAY,12.202335,1.312,30670080000.0,0.4,0.50014,0.0172,1.253,1.107,0.0026699998
ECL,42.18792,1.136,71544233984.0,,0.218,0.0091,1.495,0.891,0.00176
EIX,34.30924,0.921,32991100928.0,0.233,0.054050002,0.0365,1.029,0.422,0.00174
EW,26.311026,1.132,40258392064.0,0.206,0.22021,,3.711,2.321,0.00897
EA,32.758213,0.791,36869111808.0,-0.293,0.15624,0.0054,1.453,1.296,0.00208
ELV,18.90266,0.832,125185974272.0,0.264,0.16576,0.0121,1.489,1.322,0.0018799999
EMR,35.647457,1.293,60151521280.0,-0.965,0.06474,0.02,1.162,0.79,0.00348
ENPH,123.548386,1.725,15559988224.0,-0.927,0.13958,,4.232,3.711,0.03319
ETR,15.423628,0.723,27637657600.0,-0.876,0.12486,0.035,0.938,0.535,0.0021
EOG,9.724537,1.288,71660658688.0,0.109,0.27056998,0.028900001,2.118,1.748,0.0029699998
EPAM,28.263988,1.451,11216273408.0,-0.163,0.12299,,4.84,4.663,0.033800002
EQT,22.764708,1.062,20690030592.0,,0.051119998,0.018099999,0.73,0.419,0.045939997
EFX,64.04497,1.583,37008199680.0,0.17,0.1305,0.0052,0.793,0.668,0.00456
EQIX,80.625,0.7,83285753856.0,0.43,0.085,0.0194,1.215,1.045,0.00303
EQR,31.257143,0.91,29927464960.0,0.276,0.085939996,0.0353,0.247,0.084,0.0050999997
ESS,37.897278,0.895,20355829760.0,-0.066,0.095369995,0.032,0.874,0.214,0.0114
EL,78.71296,0.997,30516381696.0,,0.06973,0.0311,1.389,0.898,0.00428
ETSY,25.074417,1.974,6186280448.0,-0.089,,,2.408,1.79,0.00912
EG,5.6976914,0.615,16768481280.0,0.027,0.23433,0.020599999,0.399,0.297,0.014099999
EVRG,19.265625,0.602,14176911360.0,0.155,0.07796,0.0417,0.593,0.138,0.00213
ES,,0.618,23994828800.0,22.736,-0.00548,0.042600002,0.747,0.272,0.00273
EXC,16.640495,0.601,40290136064.0,0.316,0.09455,0.0377,1.034,0.561,0.0010800001
EXPE,25.953152,1.793,18750982144.0,0.102,0.25459,,0.761,0.59,0.0089
EXPD,26.376873,0.958,17384146944.0,-0.046,0.28525,0.0119,1.711,1.442,0.0075700004
EXR,49.29235,0.871,39789424640.0,-0.414,0.08825,0.0359,2.15,0.396,0.01074
XOM,13.788278,0.878,512124977152.0,0.104,0.1469,0.033,1.36,0.983,0.00046
FFIV,23.650484,1.057,12778271744.0,0.649,0.19534001,,1.365,1.202,0.0057099997
FDS,33.446518,0.748,17723215872.0,0.377,0.30411,0.0089,1.252,1.077,0.00205
FICO,102.03745,1.348,47434227712.0,-0.006,,,1.872,1.761,0.02248
FAST,35.199005,0.996,40514707456.0,-0.019,0.33515,0.022,4.389,2.037,0.00179
FRT,33.146626,1.256,9528303616.0,0.843,0.093310006,0.038900003,0.362,0.35,0.01045
FDX,15.718517,,62214410240.0,-0.133,0.1507,0.0184,1.282,1.152,0.08185001
FIS,83.22772,1.086,45860278272.0,,0.03136,0.019,1.348,0.901,0.00106
FITB,13.7707,1.239,29226565632.0,-0.012,0.12485,0.0342,,,0.0057599996
FSLR,21.465595,1.44,25712689152.0,1.044,0.18106002,,2.228,1.415,0.05431
FE,28.20513,0.489,25340567552.0,-0.809,0.08081,0.038599998,0.513,0.293,0.00123
FI,30.888697,0.933,102254518272.0,0.391,0.11798,,1.059,0.157,0.0064600003
FMC,5.302564,0.855,7744080896.0,8.827,0.36833,0.0374,1.479,0.901,0.010240001
F,11.333334,1.635,43250720768.0,-0.022,0.08754,0.054899998,1.166,0.956,0.00274
FTNT,45.43195,0.998,58729635840.0,0.485,4.30883,,1.321,1.187,0.17495
FTV,30.658632,1.161,26745108480.0,-0.068,0.0865,0.0042,1.232,0.825,0.00328
FOXA,12.846644,0.77,17813149696.0,-0.08,0.14313,0.013300001,2.541,2.264,0.01154
FOX,11.9105425,0.77,17817901056.0,-0.08,0.14313,0.014400001,2.541,2.264,0.43991002
BEN,12.925466,1.408,10883588096.0,-0.273,0.07579,0.0596,5.122,1.464,0.46778
FCX,33.4812,1.891,63983374336.0,0.826,0.16131,0.0135,2.399,1.113,0.0063
GRMN,23.916084,1.009,32868593664.0,0.04,0.20961,0.0175,2.892,1.877,0.19544001
IT,48.773983,1.323,39576993792.0,0.181,1.34407,,0.898,0.773,0.02944
GE,50.794037,1.179,203232215040.0,,0.16128999,0.006,1.141,0.805,0.00153
GEHC,26.092485,,41227444224.0,0.022,0.21218,0.0013,1.059,0.717,0.06865
GEV,61.673367,,67452895232.0,,,,1.057,0.69,0.00098
GEN,27.583334,1.06,16299101184.0,,0.28326,0.0189,0.296,0.249,0.0926
GNRC,36.53608,1.385,8527246336.0,0.386,0.101239994,,2.253,0.908,0.01668
GD,23.91816,0.607,84321116160.0,0.207,0.17079,0.0185,1.332,0.717,0.005
GIS,17.740477,0.091,41364897792.0,-0.096,0.24168,0.0322,0.66,0.317,0.00261
GM,5.492135,1.439,54937210880.0,0.393,0.1463,0.0098,1.175,0.912,0.00238
GPC,15.840464,0.913,19089352704.0,-0.135,0.28061,0.0292,1.118,0.351,0.00345
GILD,102.36586,0.196,104504459264.0,0.554,0.05263,0.0367,1.142,0.783,0.00119
GPN,20.310093,0.991,28163631104.0,0.4,0.06343,0.009,0.916,0.346,0.0086
GL,9.6075945,0.808,9544252416.0,0.261,0.22686,0.009,0.52,0.392,0.022939999
GDDY,13.368027,1.125,22633213952.0,0.87,,,0.479,0.252,0.00632
GS,16.000963,1.353,157404184576.0,1.793,0.0949,0.0241,1.59,1.463,0.00521
HAL,9.790697,1.906,26016970752.0,0.182,0.28903,0.0231,2.13,1.339,0.0039399997
HIG,12.24421,0.924,34083389440.0,0.41,0.19529,0.0162,1.901,1.067,0.00283
HAS,,0.596,9927173120.0,,-0.56743,0.039300002,1.461,1.124,0.06032
HCA,19.007046,1.678,104432222208.0,0.289,7.36111,0.0064999997,1.061,0.78,0.27879998
DOC,45.854168,1.12,15387917312.0,1.305,0.03723,0.0545,2.356,1.462,0.00312
HSIC,26.254612,0.861,9015274496.0,-0.245,0.07253,,1.546,0.666,0.00892
HSY,21.642303,0.361,39533142016.0,-0.551,0.47917998,0.027999999,0.858,0.338,0.00275
HES,15.646099,1.164,41410654208.0,5.326,0.30075002,0.0149,1.269,1.106,0.09473
HPE,13.3404255,1.203,24427980800.0,0.086,0.086660005,0.0276,0.939,0.469,0.00413
HLT,47.392406,1.31,55357362176.0,0.077,,0.0027,0.636,0.546,0.02094
HOLX,27.778156,0.984,18904616960.0,,0.13846,,3.987,3.069,0.00712
HD,26.18267,1.003,387245178880.0,-0.011,5.13362,0.0231,1.148,0.253,0.00068000006
HON,23.21347,1.027,132110598144.0,0.063,0.32740003,0.0212,1.206,0.843,0.00092
HRL,22.216784,0.248,17421524992.0,0.075,0.10005,0.0356,2.289,0.984,0.00225
HST,17.669811,1.341,26777155584.0,0.17,0.10767999,0.0427,4.239,4.23,0.01313
HWM,43.31111,1.292,39773925376.0,0.413,0.23174,0.0033000002,1.528,0.645,0.01052
HPQ,12.196491,1.083,33488060416.0,-0.145,,0.0317,0.714,0.369,0.00198
HUBB,31.439852,0.898,22868600832.0,0.031,0.25931,0.0115,1.807,1.033,0.00361
HUM,21.875265,0.509,37373984768.0,-0.265,0.10155,0.0114,1.66,1.365,0.00214
HBAN,14.018868,1.068,21583108096.0,-0.143,0.08875,0.0417,,,0.009330001
HII,14.206586,0.514,10490458112.0,0.341,0.19121,0.0194,0.817,0.732,0.0060900003
IBM,24.028696,0.693,200533917696.0,0.141,0.36244,0.0307,1.123,0.869,0.00118
IEX,27.249348,0.949,15801570304.0,0.022,0.16726999,0.013200001,3.413,2.37,0.002
IDXX,50.271824,1.332,41707692032.0,-0.086,0.63246,,1.369,0.904,0.00939
ITW,24.933334,1.112,75507613696.0,0.024,1.01288,0.023599999,1.302,0.856,0.00735
INCY,160.34146,0.735,12661392384.0,,0.025150001,,1.92,1.689,0.020380002
IR,47.90594,1.423,39045144576.0,0.023,0.085319996,0.0008,2.178,1.416,0.00202
PODD,42.70397,1.206,16587926528.0,5.639,0.50931,,3.598,2.407,0.00341
